"Species"	"Genus"	"Family"	"Order"	"Class"	"Phylum"	"Domain"
"RBG-16-52-11 sp"	"RBG-16-52-11"	"UBA927"	"UBA10105"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"RBG-16-54-11 sp"	"RBG-16-54-11"	"RBG-16-54-18"	"B13-G15"	"BSN033"	"Desulfobacterota"	"Bacteria"
"RBG-16-54-18 sp"	"RBG-16-54-18"	"RBG-16-54-18"	"B13-G15"	"BSN033"	"Desulfobacterota"	"Bacteria"
"RBG-16-55-9 sp"	"RBG-16-55-9"	"RBG-16-55-9"	"RBG-16-55-9"	"Bipolaricaulia"	"Bipolaricaulota"	"Bacteria"
"RBG-16-56-11 sp"	"RBG-16-56-11"	"RBG-16-60-22"	"Dehalococcoidales"	"Dehalococcoidia"	"Chloroflexota"	"Bacteria"
"RBG-16-57-11 sp"	"RBG-16-57-11"	"UBA4823"	"Anaerolineales"	"Anaerolineae"	"Chloroflexota"	"Bacteria"
"RBG-16-57-12 sp"	"RBG-16-57-12"	"RBG-16-57-12"	"Thiohalomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"RBG-16-58-11 sp"	"RBG-16-58-11"	"RBG-16-58-11"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"RBG-16-60-22 sp"	"RBG-16-60-22"	"RBG-16-60-22"	"Dehalococcoidales"	"Dehalococcoidia"	"Chloroflexota"	"Bacteria"
"RBG-16-64-13 sp"	"RBG-16-64-13"	"RBG-16-64-13"	"RBG-16-64-13"	"Thermoleophilia"	"Actinobacteriota"	"Bacteria"
"RBG-16-64-22 sp"	"RBG-16-64-22"	"RBG-16-64-22"	"RBG-16-64-22"	"RBG-16-64-22"	"Nitrospirota"	"Bacteria"
"RBG-16-64-32 sp"	"RBG-16-64-32"	"RBG-16-64-32"	"SM23-28-2"	"Dehalococcoidia"	"Chloroflexota"	"Bacteria"
"RBG-16-64-43 sp"	"RBG-16-64-43"	"RBG-16-64-43"	"Anaerolineales"	"Anaerolineae"	"Chloroflexota"	"Bacteria"
"RBG-16-64-85 sp"	"RBG-16-64-85"	"MBNT15"	"MBNT15"	"MBNT15"	"Desulfobacterota"	"Bacteria"
"RBG-16-65-34 sp"	"RBG-16-65-34"	"Sulfurifustaceae"	"Acidiferrobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"RBG-16-66-20 sp"	"RBG-16-66-20"	"SG8-39"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"RBG-16-66-30 sp"	"RBG-16-66-30"	"RBG-16-66-30"	"Aminicenantales"	"Aminicenantia"	"Acidobacteriota"	"Bacteria"
"RBG-16-68-14 sp"	"RBG-16-68-14"	"RBG-16-68-14"	"SM23-28-2"	"Dehalococcoidia"	"Chloroflexota"	"Bacteria"
"RBG-16-68-21 sp"	"RBG-16-68-21"	"UBA11373"	"UBA5794"	"Acidimicrobiia"	"Actinobacteriota"	"Bacteria"
"RBG-16-71-46 sp"	"RBG-16-71-46"	"RBG-16-71-46"	"RBG-16-71-46"	"RBG-16-71-46"	"Eisenbacteria"	"Bacteria"
"RC9 sp"	"RC9"	"UBA932"	"Bacteroidales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RCC1774 sp"	"RCC1774"	"Thermosynechococcaceae"	"Thermosynechococcales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"RCC307 sp"	"RCC307"	"Cyanobiaceae"	"PCC-6307"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"RCIO01 sp"	"RCIO01"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RCIZ01 sp"	"RCIZ01"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RDXD01 sp"	"RDXD01"	"Chitinophagaceae"	"Chitinophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDXE01 sp"	"RDXE01"	"Elsteraceae"	"Elsterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RDXG01 sp"	"RDXG01"	"Bernardetiaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDXI01 sp"	"RDXI01"	"Microscillaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDXV01 sp"	"RDXV01"	"Nostocaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"RDXZ01 sp"	"RDXZ01"	"Microscillaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDYJ01 sp"	"RDYJ01"	"Nostocaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"RDYZ01 sp"	"RDYZ01"	"Geitlerinemaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"RDZD01 sp"	"RDZD01"	"Bernardetiaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDZE01 sp"	"RDZE01"	"Microscillaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RDZH01 sp"	"RDZH01"	"UBA998"	"Rickettsiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"REAB01 sp"	"REAB01"	"Spirosomaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"REAG01 sp"	"REAG01"	"UBA9547"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"REAM01 sp"	"REAM01"	"Palsa-1005"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"REBA01 sp"	"REBA01"	"Cytophagaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Reconcilibacillus cellulovorans"	"Reconcilibacillus"	"Reconcilibacillaceae"	"Paenibacillales"	"Bacilli"	"Firmicutes"	"Bacteria"
"REDSEA-S09-B13 sp"	"REDSEA-S09-B13"	"LS-SOB"	"UBA10353"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Regiella insecticola"	"Regiella"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Reichenbachiella agariperforans"	"Reichenbachiella"	"Cyclobacteriaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Reichenbachiella faecimaris"	"Reichenbachiella"	"Cyclobacteriaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Reichenbachiella sp"	"Reichenbachiella"	"Cyclobacteriaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Reichenbachiella versicolor"	"Reichenbachiella"	"Cyclobacteriaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Reinekea blandensis"	"Reinekea"	"Saccharospirillaceae"	"Pseudomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Reinekea forsetii"	"Reinekea"	"Saccharospirillaceae"	"Pseudomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Reinekea marinisedimentorum"	"Reinekea"	"Saccharospirillaceae"	"Pseudomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Renibacterium lacuslunae"	"Renibacterium"	"Micrococcaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Renibacterium salmoninarum"	"Renibacterium"	"Micrococcaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Renibacterium sp"	"Renibacterium"	"Micrococcaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Reyranella aerosaccus"	"Reyranella"	"Reyranellaceae"	"Reyranellales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Reyranella massiliensis"	"Reyranella"	"Reyranellaceae"	"Reyranellales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Reyranella sp"	"Reyranella"	"Reyranellaceae"	"Reyranellales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RF16 sp"	"RF16"	"Paludibacteraceae"	"Bacteroidales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"RH-AL1 sp"	"RH-AL1"	"Beijerinckiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RH-chloro-G1 sp"	"RH-chloro-G1"	"UBA2979"	"UBA2979"	"Dehalococcoidia"	"Chloroflexota"	"Bacteria"
"RH2-MAG17b sp"	"RH2-MAG17b"	"UBA7540"	"UBA7540"	"Acidobacteriae"	"Acidobacteriota"	"Bacteria"
"Rhabdochlamydia sp"	"Rhabdochlamydia"	"Rhabdochlamydiaceae"	"Parachlamydiales"	"Chlamydiia"	"Verrucomicrobiota"	"Bacteria"
"Rheinheimera aquimaris"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rheinheimera baltica"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rheinheimera nanhaiensis"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rheinheimera pacifica"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rheinheimera salexigens"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rheinheimera sp"	"Rheinheimera"	"Alteromonadaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobacter gummiphilus"	"Rhizobacter"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobacter sp"	"Rhizobacter"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium acidisoli"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium aethiopicum"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium alamii"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium album"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium altiplani"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium anhuiense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium azibense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium bangladeshense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium ecuadorense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium esperanzae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium etli"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium favelukesii"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium freirei"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium grahamii"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium hainanense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium hidalgonense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium jaguaris"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium laguerreae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium leguminosarum"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium leucaenae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium loessense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium lusitanum"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium mesoamericanum"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium miluonense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium mongolense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium multihospitium"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium phaseoli"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium pisi"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium rhizogenes"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium sophorae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium sp"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium sullae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium tibeticum"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium tropici"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium tubonense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium tumorigenes"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium vallis"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium yanglingense"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizobium straminoryzae"	"Rhizobium"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizorhabdus dicambivorans"	"Rhizorhabdus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizorhabdus histidinilytica"	"Rhizorhabdus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizorhabdus sp"	"Rhizorhabdus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhizorhabdus wittichii"	"Rhizorhabdus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"RHLJ01 sp"	"RHLJ01"	"Balneolaceae"	"Balneolales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"Rhodanobacter denitrificans"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodanobacter fulvus"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodanobacter glycinis"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodanobacter lindaniclasticus"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodanobacter sp"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodanobacter thiooxydans"	"Rhodanobacter"	"Rhodanobacteraceae"	"Xanthomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter aestuarii"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter capsulatus"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter maris"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter viridis"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter lobularis"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter sp"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobacter vinaykumarii"	"Rhodobacter"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobium orientis"	"Rhodobium"	"Rhodobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodobium sp"	"Rhodobium"	"Rhodobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoblastus acidophilus"	"Rhodoblastus"	"Beijerinckiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoblastus sp"	"Rhodoblastus"	"Beijerinckiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodocista sp"	"Rhodocista"	"Azospirillaceae"	"Azospirillales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodococcus aetherivorans"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus agglutinans"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus coprophilus"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus corynebacterioides"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus defluvii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus erythropolis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus fascians"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus globerulus"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus gordoniae"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus hoagii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus jostii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus koreensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus kroppenstedtii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus kyotonensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus maanshanensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus marinonascens"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus opacus"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus phenolicus"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus pyridinivorans"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus qingshengii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus rhodnii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus rhodochrous"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus ruber"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus sp"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus triatomae"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus tukisamuensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus wratislaviensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus yunnanensis"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodococcus zopfii"	"Rhodococcus"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoferax antarcticus"	"Rhodoferax"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoferax fermentans"	"Rhodoferax"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoferax ferrireducens"	"Rhodoferax"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoferax saidenbachensis"	"Rhodoferax"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoferax sp"	"Rhodoferax"	"Burkholderiaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoglobus amurskyense"	"Rhodoglobus"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoglobus sp"	"Rhodoglobus"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoglobus vestalii"	"Rhodoglobus"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoglobus xinjiangense"	"Rhodoglobus"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodohalobacter barkolensis"	"Rhodohalobacter"	"Balneolaceae"	"Balneolales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"Rhodohalobacter halophilus"	"Rhodohalobacter"	"Balneolaceae"	"Balneolales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"Rhodohalobacter sp"	"Rhodohalobacter"	"Balneolaceae"	"Balneolales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"Rhodoligotrophos sp"	"Rhodoligotrophos"	"Im1"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodoluna lacicola"	"Rhodoluna"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoluna limnophila"	"Rhodoluna"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoluna planktonica"	"Rhodoluna"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodoluna sp"	"Rhodoluna"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Rhodomicrobium sp"	"Rhodomicrobium"	"Rhodomicrobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodomicrobium udaipurense"	"Rhodomicrobium"	"Rhodomicrobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodomicrobium vannielii"	"Rhodomicrobium"	"Rhodomicrobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodonellum psychrophilum"	"Rhodonellum"	"Cyclobacteriaceae"	"Cytophagales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Rhodopila globiformis"	"Rhodopila"	"Acetobacteraceae"	"Acetobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Rhodopila sp"	"Rhodopila"	"Acetobacteraceae"	"Acetobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
